"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"109","GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"110","MAWULI SENIOR HIGH. SCHOOL, HO",70102,"Ho Municipal",0.526142239570618,6.71760702133179
"111","GHANA NATIONAL COLLEGE, CAPE COAST",30106,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"112","OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,"Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"113","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,"Tema",-0.0500882156193256,5.69031476974487
"114","ACCRA ACADEMY, KANESHIE",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"115","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"116","GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"117","KUMASI GIRLS SENIOR HIGH. SCHOOL, ABREPO",50103,"Kumasi Metro",-1.59718716144562,6.68205976486206
"118","SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,"Sunyani",-2.3274233341217,7.34467792510986
"119","ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"120","WINNEBA SENIOR HIGH SCHOOL, WINNEBA",30601,"Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346
"121","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,"Tema",-0.0500882156193256,5.69031476974487
"122","YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,"Kumasi Metro",-1.59718716144562,6.68205976486206
"123","ARMED FORCES SENIOR HIGH/TECHNICAL SCHOOL, KUMASI",50113,"Kumasi Metro",-1.59718716144562,6.68205976486206
"124","OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,"Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"125","AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,"Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"126","ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,"Kumasi Metro",-1.59718716144562,6.68205976486206
"127","AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,"Bosomtwe/Atwima/Kwanwoma (Kuntanase)",-1.56275165081024,6.55932283401489
"128","MAWULI SENIOR HIGH. SCHOOL, HO",70102,"Ho Municipal",0.526142239570618,6.71760702133179
"129","BISHOP HERMAN SENIOR HIGH. SCHOOL, KPANDO",70601,"Kpando",0.267385125160217,6.89685153961182
"130","YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,"Kumasi Metro",-1.59718716144562,6.68205976486206
"131","OLA GIRLS SENIOR HIGH. SCHOOL, KENYASI",61201,"Asutifi (Kenyasi)",-2.51506805419922,7.02809381484985
"132","WINNEBA SENIOR HIGH SCHOOL, WINNEBA",30601,"Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346
"133","ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,"Kumasi Metro",-1.59718716144562,6.68205976486206
"134","ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,"Sekyere West (Mampong)",-1.18007683753967,7.19956493377686
"135","ARMED FORCES SENIOR HIGH/TECHNICAL SCHOOL, KUMASI",50113,"Kumasi Metro",-1.59718716144562,6.68205976486206
"136","T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,"Kumasi Metro",-1.59718716144562,6.68205976486206
"137","ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,"Kumasi Metro",-1.59718716144562,6.68205976486206
"138","GHANA NATIONAL COLLEGE, CAPE COAST",30106,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"139","GHANA SENIOR HIGH./TECH. SCHOOL, TAKORADI",40104,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"140","T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,"Kumasi Metro",-1.59718716144562,6.68205976486206
"141","KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE",21501,"Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"142","SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,"Sunyani",-2.3274233341217,7.34467792510986
"143","AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,"Bosomtwe/Atwima/Kwanwoma (Kuntanase)",-1.56275165081024,6.55932283401489
"144","WESLEY GRAMMAR SCHOOL, DANSOMAN",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"145","KUMASI GIRLS SENIOR HIGH. SCHOOL, ABREPO",50103,"Kumasi Metro",-1.59718716144562,6.68205976486206
"146","OLA GIRLS SENIOR HIGH. SCHOOL, KENYASI",61201,"Asutifi (Kenyasi)",-2.51506805419922,7.02809381484985
"147","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"148","KONONGO ODUMASE SENIOR HIGH. SCHOOL, ODUMASE",51002,"Asante Akim North (Konongo)",-1.01796305179596,6.83400392532349
"149","ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,"Sekyere West (Mampong)",-1.18007683753967,7.19956493377686
"150","ARMED FORCES SENIOR HIGH/TECHNICAL SCHOOL, KUMASI",50113,"Kumasi Metro",-1.59718716144562,6.68205976486206
"151","KUMASI ACADEMY, ASOKORE MAMPONG",50105,"Kumasi Metro",-1.59718716144562,6.68205976486206
"152","OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"153","OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"154","KONONGO ODUMASE SENIOR HIGH. SCHOOL, ODUMASE",51002,"Asante Akim North (Konongo)",-1.01796305179596,6.83400392532349
"155","ST. MARTINS SENIOR HIGH. SCH., NSAWAM",20303,"Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"156","SWEDRU SENIOR HIGH SCHOOL, SWEDRU",30905,"Agona Swedru",-0.755242526531219,5.61735343933105
"157","NOTRE DAME GIRLS SENIOR HIGH. SCHOOL, SUNYANI",60107,"Sunyani",-2.3274233341217,7.34467792510986
"158","FIJAI SENIOR HIGH. SCHOOL, SEKONDI",40105,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"159","YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,"Kumasi Metro",-1.59718716144562,6.68205976486206
"160","OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,"Ho Municipal",0.526142239570618,6.71760702133179
